,Regiao_Geografica,Unidade_da_Federacao,Municipio,Codigo_do_Municipio,Matriculas_Total,Matriculas_Fem_Total,MF_Nao_Declarada,MF_Branca,MF_Preta,MF_Parda,MF_Amarela,MF_Indigena,Matriculas_Masc_Total,MM_Nao_Declarada,MM_Branca,MM_Preta,MM_Parda,MM_Amarela,MM_Indigena
1439,Nordeste ,Paraíba ,Santana dos Garrotes ,2513604,1773,841,79,322,21,417,0,2,932,98,295,28,509,1,1
1440,Nordeste ,Paraíba ,Santo André ,2513851,583,286,16,65,3,202,0,0,297,15,56,0,226,0,0
1441,Nordeste ,Paraíba ,São Bentinho ,2513927,934,470,26,150,28,266,0,0,464,23,143,19,279,0,0
1442,Nordeste ,Paraíba ,São Bento ,2513901,11505,5691,204,2117,104,3255,11,0,5814,239,1972,103,3490,9,1
1443,Nordeste ,Paraíba ,São Domingos ,2513968,673,336,5,91,10,222,7,1,337,7,75,19,228,8,0
1444,Nordeste ,Paraíba ,São Domingos do Cariri ,2513943,628,333,128,90,3,112,0,0,295,117,54,2,122,0,0
1445,Nordeste ,Paraíba ,São Francisco ,2513984,783,405,20,227,4,137,16,1,378,16,191,9,150,12,0
1446,Nordeste ,Paraíba ,São João do Cariri ,2514008,1170,615,255,99,10,249,0,2,555,231,90,8,225,0,1
1447,Nordeste ,Paraíba ,São João do Rio do Peixe ,2500700,6092,2945,799,735,25,1378,7,1,3147,849,755,43,1491,7,2
1448,Nordeste ,Paraíba ,São João do Tigre ,2514107,1103,556,22,71,3,454,5,1,547,27,62,5,452,1,0
1449,Nordeste ,Paraíba ,São José da Lagoa Tapada ,2514206,1557,759,314,123,11,307,2,2,798,327,130,6,333,2,0
1450,Nordeste ,Paraíba ,São José de Caiana ,2514305,1338,635,156,106,3,369,1,0,703,153,100,9,438,2,1
1451,Nordeste ,Paraíba ,São José de Espinharas ,2514404,772,371,26,60,16,251,18,0,401,33,58,27,269,14,0
1452,Nordeste ,Paraíba ,São José de Piranhas ,2514503,5493,2765,365,1020,98,1264,18,0,2728,407,945,99,1263,13,1
1453,Nordeste ,Paraíba ,São José de Princesa ,2514552,512,246,69,57,7,112,1,0,266,85,70,3,108,0,0
1454,Nordeste ,Paraíba ,São José do Bonfim ,2514602,684,346,11,138,2,194,1,0,338,13,116,5,204,0,0
1455,Nordeste ,Paraíba ,São José do Brejo do Cruz ,2514651,715,343,138,84,7,114,0,0,372,157,74,13,127,1,0
1456,Nordeste ,Paraíba ,São José do Sabugi ,2514701,807,379,30,194,10,145,0,0,428,55,212,10,150,1,0
1457,Nordeste ,Paraíba ,São José dos Cordeiros ,2514800,696,352,72,175,4,100,1,0,344,63,145,5,129,1,1
1458,Nordeste ,Paraíba ,São José dos Ramos ,2514453,2007,965,348,106,16,495,0,0,1042,390,118,23,510,0,1
1459,Nordeste ,Paraíba ,São Mamede ,2514909,1585,761,138,232,6,382,3,0,824,166,257,7,394,0,0
1460,Nordeste ,Paraíba ,São Miguel de Taipu ,2515005,1956,961,62,93,13,780,13,0,995,55,76,13,843,7,1
1461,Nordeste ,Paraíba ,São Sebastião de Lagoa de Roça ,2515104,2457,1186,73,243,24,845,0,1,1271,78,226,24,939,3,1
1462,Nordeste ,Paraíba ,São Sebastião do Umbuzeiro ,2515203,718,327,175,37,5,109,0,1,391,212,45,2,130,0,2
1463,Nordeste ,Paraíba ,São Vicente do Seridó ,2515401,2496,1229,267,93,14,824,30,1,1267,276,89,9,865,28,0
1464,Nordeste ,Paraíba ,Sapé ,2515302,12470,6230,392,918,173,4706,35,6,6240,438,926,179,4663,30,4
1465,Nordeste ,Paraíba ,Serra Branca ,2515500,2812,1363,439,409,17,488,10,0,1449,478,403,19,538,9,2
1466,Nordeste ,Paraíba ,Serra da Raiz ,2515609,932,461,113,30,17,300,1,0,471,125,27,7,312,0,0
1467,Nordeste ,Paraíba ,Serra Grande ,2515708,792,396,20,37,4,334,1,0,396,19,31,2,344,0,0
1468,Nordeste ,Paraíba ,Serra Redonda ,2515807,1893,979,186,122,32,637,2,0,914,182,92,34,603,2,1
1469,Nordeste ,Paraíba ,Serraria ,2515906,1248,617,101,56,14,446,0,0,631,127,46,15,443,0,0
1470,Nordeste ,Paraíba ,Sertãozinho ,2515930,1746,872,261,173,56,377,4,1,874,262,167,38,404,3,0
1471,Nordeste ,Paraíba ,Sobrado ,2515971,2015,973,102,187,22,660,2,0,1042,107,195,40,700,0,0
1472,Nordeste ,Paraíba ,Solânea ,2516003,5400,2595,1217,283,22,1060,12,1,2805,1414,252,25,1097,13,4
1473,Nordeste ,Paraíba ,Soledade ,2516102,3347,1614,122,405,24,1048,15,0,1733,107,423,27,1155,20,1
1474,Nordeste ,Paraíba ,Sossêgo ,2516151,889,423,211,66,6,139,1,0,466,238,69,1,157,1,0
1475,Nordeste ,Paraíba ,Sousa ,2516201,16029,8073,2395,2142,177,3307,50,2,7956,2372,2018,181,3337,46,2
1476,Nordeste ,Paraíba ,Sumé ,2516300,3528,1677,212,522,29,903,11,0,1851,245,537,38,1016,15,0
1477,Nordeste ,Paraíba ,Tacima ,2516409,2248,1100,231,110,10,747,2,0,1148,245,102,8,791,2,0
1478,Nordeste ,Paraíba ,Taperoá ,2516508,3425,1675,288,208,16,1160,3,0,1750,301,195,18,1235,1,0
1479,Nordeste ,Paraíba ,Tavares ,2516607,2829,1359,180,363,24,786,6,0,1470,206,408,33,812,10,1
1480,Nordeste ,Paraíba ,Teixeira ,2516706,3960,1955,592,280,13,1061,9,0,2005,626,265,16,1086,12,0
1481,Nordeste ,Paraíba ,Tenório ,2516755,780,392,87,119,9,177,0,0,388,90,133,7,156,1,1
1482,Nordeste ,Paraíba ,Triunfo ,2516805,2859,1428,575,137,14,698,3,1,1431,550,125,11,743,1,1
1483,Nordeste ,Paraíba ,Uiraúna ,2516904,5370,2717,982,450,49,1235,1,0,2653,965,440,33,1214,1,0
1484,Nordeste ,Paraíba ,Umbuzeiro ,2517001,2953,1486,386,324,16,757,2,1,1467,389,315,17,745,0,1
1485,Nordeste ,Paraíba ,Várzea ,2517100,467,217,12,100,2,103,0,0,250,19,110,8,113,0,0
1486,Nordeste ,Paraíba ,Vieirópolis ,2517209,955,465,281,95,4,80,5,0,490,284,91,8,103,4,0
1487,Nordeste ,Paraíba ,Vista Serrana ,2505501,845,435,23,94,4,312,2,0,410,26,95,2,287,0,0
1488,Nordeste ,Paraíba ,Zabelê ,2517407,593,286,92,30,2,162,0,0,307,92,34,2,179,0,0
1489,Nordeste ,Pernambuco ,  , ,2159399,1071338,376159,191573,28439,461999,3549,9619,1088061,377785,188658,30350,477830,3382,10056
1490,Nordeste ,Pernambuco ,Abreu e Lima ,2600054,21463,10940,5049,1137,355,4366,27,6,10523,4993,1055,324,4117,27,7
1491,Nordeste ,Pernambuco ,Afogados da Ingazeira ,2600104,9318,4639,529,1626,84,2384,13,3,4679,464,1688,95,2422,7,3
1492,Nordeste ,Pernambuco ,Afrânio ,2600203,4009,1968,177,758,165,865,2,1,2041,219,724,165,929,3,1
1493,Nordeste ,Pernambuco ,Agrestina ,2600302,5692,2784,541,875,49,1310,8,1,2908,579,865,78,1380,6,0
1494,Nordeste ,Pernambuco ,Água Preta ,2600401,5785,2855,1555,200,63,1033,2,2,2930,1651,204,49,1022,3,1
1495,Nordeste ,Pernambuco ,Águas Belas ,2600500,11184,5506,422,936,101,3342,16,689,5678,384,915,95,3543,15,726
1496,Nordeste ,Pernambuco ,Alagoinha ,2600609,3080,1455,493,453,16,489,3,1,1625,555,487,23,554,3,3
1497,Nordeste ,Pernambuco ,Aliança ,2600708,11486,5675,2559,711,97,2296,9,3,5811,2455,724,99,2521,9,3
1498,Nordeste ,Pernambuco ,Altinho ,2600807,4121,2016,354,653,26,982,1,0,2105,368,608,33,1096,0,0
1499,Nordeste ,Pernambuco ,Amaraji ,2600906,4706,2296,1527,290,20,454,2,3,2410,1618,300,9,477,2,4
1500,Nordeste ,Pernambuco ,Angelim ,2601003,2328,1136,210,276,13,634,1,2,1192,194,267,16,711,3,1
1501,Nordeste ,Pernambuco ,Araçoiaba ,2601052,5320,2669,1344,193,17,1111,1,3,2651,1347,188,12,1101,1,2
1502,Nordeste ,Pernambuco ,Araripina ,2601102,20909,10425,1355,1409,127,7500,28,6,10484,1380,1333,170,7564,33,4
1503,Nordeste ,Pernambuco ,Arcoverde ,2601201,19185,9603,2185,1556,202,5568,82,10,9582,2110,1601,226,5552,82,11
1504,Nordeste ,Pernambuco ,Barra de Guabiraba ,2601300,2513,1192,134,334,37,684,1,2,1321,138,346,45,787,1,4
1505,Nordeste ,Pernambuco ,Barreiros ,2601409,11554,5726,3830,714,49,1117,9,7,5828,3913,662,51,1194,2,6
1506,Nordeste ,Pernambuco ,Belém de Maria ,2601508,2599,1248,276,409,25,536,2,0,1351,281,405,20,644,1,0
1507,Nordeste ,Pernambuco ,Belém do São Francisco ,2601607,4705,2296,1417,53,30,772,1,23,2409,1459,37,34,851,3,25
1508,Nordeste ,Pernambuco ,Belo Jardim ,2601706,19666,9954,1798,2595,166,5352,27,16,9712,1742,2503,176,5255,27,9
1509,Nordeste ,Pernambuco ,Betânia ,2601805,2743,1336,149,202,189,784,4,8,1407,157,231,197,814,5,3
1510,Nordeste ,Pernambuco ,Bezerros ,2601904,12151,5917,1346,2039,101,2318,108,5,6234,1337,2156,136,2477,125,3
1511,Nordeste ,Pernambuco ,Bodocó ,2602001,7783,3879,2041,210,26,1589,13,0,3904,2152,197,22,1524,9,0
1512,Nordeste ,Pernambuco ,Bom Conselho ,2602100,10786,5265,583,906,162,3597,12,5,5521,572,938,157,3837,9,8
1513,Nordeste ,Pernambuco ,Bom Jardim ,2602209,6821,3357,1232,836,54,1229,6,0,3464,1287,783,43,1345,4,2
1514,Nordeste ,Pernambuco ,Bonito ,2602308,9483,4673,2205,1067,67,1323,6,5,4810,2231,1053,91,1426,4,5
1515,Nordeste ,Pernambuco ,Brejão ,2602407,2678,1326,193,378,19,728,8,0,1352,223,319,39,762,9,0
1516,Nordeste ,Pernambuco ,Brejinho ,2602506,1829,882,314,102,3,458,5,0,947,368,74,5,499,1,0
1517,Nordeste ,Pernambuco ,Brejo da Madre de Deus ,2602605,11345,5495,2684,769,68,1965,6,3,5850,2762,763,87,2230,3,5
1518,Nordeste ,Pernambuco ,Buenos Aires ,2602704,3042,1469,207,133,55,1072,1,1,1573,222,106,48,1196,1,0
1519,Nordeste ,Pernambuco ,Buíque ,2602803,13053,6547,996,845,146,4189,38,333,6506,872,730,139,4357,48,360
1520,Nordeste ,Pernambuco ,Cabo de Santo Agostinho ,2602902,52035,25814,11719,3049,1014,9905,107,20,26221,11610,2971,1112,10391,114,23
1521,Nordeste ,Pernambuco ,Cabrobó ,2603009,8229,4010,1950,205,65,1377,0,413,4219,1947,226,70,1486,4,486
1522,Nordeste ,Pernambuco ,Cachoeirinha ,2603108,4360,2200,501,627,52,1016,3,1,2160,542,597,57,959,4,1
1523,Nordeste ,Pernambuco ,Caetés ,2603207,6376,3063,1543,684,19,806,9,2,3313,1671,731,20,884,5,2
1524,Nordeste ,Pernambuco ,Calçado ,2603306,2137,990,37,305,12,636,0,0,1147,54,345,10,735,3,0
1525,Nordeste ,Pernambuco ,Calumbi ,2603405,1574,789,73,128,8,576,2,2,785,68,126,9,580,2,0
1526,Nordeste ,Pernambuco ,Camaragibe ,2603454,36013,18030,9727,1965,451,5826,45,16,17983,9613,1891,503,5940,30,6
1527,Nordeste ,Pernambuco ,Camocim de São Félix ,2603504,3794,1814,190,732,55,821,16,0,1980,186,787,45,946,16,0
1528,Nordeste ,Pernambuco ,Camutanga ,2603603,2231,1105,272,217,13,599,0,4,1126,297,192,28,607,2,0
1529,Nordeste ,Pernambuco ,Canhotinho ,2603702,6081,2689,320,783,40,1536,10,0,3392,416,809,84,2075,7,1
1530,Nordeste ,Pernambuco ,Capoeiras ,2603801,4141,2050,981,647,11,407,1,3,2091,1020,684,21,361,1,4
1531,Nordeste ,Pernambuco ,Carnaíba ,2603900,5061,2540,766,681,42,1047,4,0,2521,759,646,48,1063,5,0
1532,Nordeste ,Pernambuco ,Carnaubeira da Penha ,2603926,4647,2207,228,37,19,387,1,1535,2440,259,34,15,448,0,1684
1533,Nordeste ,Pernambuco ,Carpina ,2604007,19596,9868,2290,1860,383,5313,15,7,9728,2218,1725,383,5381,12,9
1534,Nordeste ,Pernambuco ,Caruaru ,2604106,85395,42679,8371,12038,681,21502,67,20,42716,7711,12108,694,22138,50,15
1535,Nordeste ,Pernambuco ,Casinhas ,2604155,3026,1465,1097,199,17,151,1,0,1561,1211,185,13,152,0,0
1536,Nordeste ,Pernambuco ,Catende ,2604205,7591,3754,698,733,104,2209,9,1,3837,686,737,115,2289,10,0
1537,Nordeste ,Pernambuco ,Cedro ,2604304,2691,1282,235,225,10,810,2,0,1409,241,237,21,907,1,2
1538,Nordeste ,Pernambuco ,Chã de Alegria ,2604403,3071,1466,797,123,14,530,1,1,1605,843,123,16,623,0,0
1539,Nordeste ,Pernambuco ,Chã Grande ,2604502,7016,3567,2407,396,29,730,1,4,3449,2189,427,28,798,2,5
1540,Nordeste ,Pernambuco ,Condado ,2604601,6314,3021,864,338,98,1715,4,2,3293,982,317,111,1878,2,3
1541,Nordeste ,Pernambuco ,Correntes ,2604700,3647,1710,387,415,12,879,13,4,1937,458,443,31,991,11,3
1542,Nordeste ,Pernambuco ,Cortês ,2604809,3118,1541,549,184,17,790,1,0,1577,500,181,28,867,0,1
1543,Nordeste ,Pernambuco ,Cumaru ,2604908,3692,1834,15,858,68,887,6,0,1858,15,809,60,966,8,0
1544,Nordeste ,Pernambuco ,Cupira ,2605004,6200,2989,762,1010,39,1170,6,2,3211,827,1073,42,1263,5,1
1545,Nordeste ,Pernambuco ,Custódia ,2605103,12197,5962,2579,751,235,2373,21,3,6235,2679,741,224,2570,14,7
1546,Nordeste ,Pernambuco ,Dormentes ,2605152,3688,1802,655,552,26,566,3,0,1886,701,515,41,624,1,4
1547,Nordeste ,Pernambuco ,Escada ,2605202,14959,7369,3665,780,100,2797,25,2,7590,3869,704,136,2849,29,3
1548,Nordeste ,Pernambuco ,Exu ,2605301,7706,3777,2586,303,32,835,12,9,3929,2674,248,48,947,8,4
1549,Nordeste ,Pernambuco ,Feira Nova ,2605400,4433,2148,119,678,52,1293,6,0,2285,130,657,52,1437,8,1
1550,Nordeste ,Pernambuco ,Fernando de Noronha ,2605459,674,342,159,78,10,95,0,0,332,142,74,7,109,0,0
1551,Nordeste ,Pernambuco ,Ferreiros ,2605509,2248,1103,229,252,8,611,2,1,1145,260,237,21,627,0,0
1552,Nordeste ,Pernambuco ,Flores ,2605608,4179,1995,750,324,19,898,2,2,2184,763,305,20,1093,3,0
1553,Nordeste ,Pernambuco ,Floresta ,2605707,8887,4381,1323,308,151,2202,10,387,4506,1314,339,180,2265,14,394
1554,Nordeste ,Pernambuco ,Frei Miguelinho ,2605806,2737,1353,168,591,10,581,1,2,1384,182,535,13,653,1,0
1555,Nordeste ,Pernambuco ,Gameleira ,2605905,5028,2452,1857,104,22,461,4,4,2576,1983,108,20,460,4,1
1556,Nordeste ,Pernambuco ,Garanhuns ,2606002,37763,19266,2351,6221,531,10100,42,21,18497,2186,5933,473,9836,44,25
1557,Nordeste ,Pernambuco ,Glória do Goitá ,2606101,6706,3250,1271,644,111,1213,7,4,3456,1357,649,124,1312,10,4
1558,Nordeste ,Pernambuco ,Goiana ,2606200,24192,12013,7170,874,238,3683,31,17,12179,7378,853,220,3689,27,12
1559,Nordeste ,Pernambuco ,Granito ,2606309,1963,923,580,37,4,302,0,0,1040,687,54,6,292,1,0
1560,Nordeste ,Pernambuco ,Gravatá ,2606408,17144,8430,2312,3043,134,2920,20,1,8714,2405,3098,142,3057,8,4
1561,Nordeste ,Pernambuco ,Iati ,2606507,4770,2304,900,430,38,935,0,1,2466,981,476,38,965,5,1
1562,Nordeste ,Pernambuco ,Ibimirim ,2606606,6350,3119,637,496,31,1738,3,214,3231,678,462,29,1808,8,246
1563,Nordeste ,Pernambuco ,Ibirajuba ,2606705,1662,751,52,380,5,312,2,0,911,65,464,7,375,0,0
1564,Nordeste ,Pernambuco ,Igarassu ,2606804,25681,12401,3362,1731,532,6721,39,16,13280,3518,1684,621,7390,49,18
1565,Nordeste ,Pernambuco ,Iguaracy ,2606903,2387,1180,118,437,20,599,4,2,1207,143,380,22,655,5,2
1566,Nordeste ,Pernambuco ,Ilha de Itamaracá ,2607604,5560,2141,1127,177,25,809,1,2,3419,1435,349,140,1491,2,2
1567,Nordeste ,Pernambuco ,Inajá ,2607000,6113,2953,1174,258,23,1059,3,436,3160,1298,263,30,1095,5,469
1568,Nordeste ,Pernambuco ,Ingazeira ,2607109,1093,548,346,62,1,139,0,0,545,355,47,10,133,0,0
1569,Nordeste ,Pernambuco ,Ipojuca ,2607208,29018,14542,11982,588,213,1717,27,15,14476,12042,546,214,1635,31,8
1570,Nordeste ,Pernambuco ,Ipubi ,2607307,8282,4173,2534,163,29,1430,14,3,4109,2535,151,27,1373,22,1
1571,Nordeste ,Pernambuco ,Itacuruba ,2607406,1775,869,209,25,54,287,1,293,906,225,23,81,276,0,301
1572,Nordeste ,Pernambuco ,Itaíba ,2607505,5969,2887,97,567,36,2178,5,4,3082,117,575,41,2342,5,2
1573,Nordeste ,Pernambuco ,Itambé ,2607653,8044,4020,854,549,114,2495,6,2,4024,865,531,130,2486,9,3
1574,Nordeste ,Pernambuco ,Itapetim ,2607703,2955,1385,967,155,6,256,0,1,1570,1158,169,5,236,1,1
1575,Nordeste ,Pernambuco ,Itapissuma ,2607752,6083,2958,1638,215,27,1054,2,22,3125,1669,216,38,1191,1,10
1576,Nordeste ,Pernambuco ,Itaquitinga ,2607802,4040,1877,200,215,95,1360,6,1,2163,432,189,109,1427,4,2
1577,Nordeste ,Pernambuco ,Jaboatão dos Guararapes ,2607901,126150,62530,32697,8282,1642,19615,248,46,63620,33239,8136,1746,20204,247,48
1578,Nordeste ,Pernambuco ,Jaqueira ,2607950,2841,1454,751,128,23,543,9,0,1387,765,127,21,462,12,0
1579,Nordeste ,Pernambuco ,Jataúba ,2608008,4568,2205,474,712,15,979,23,2,2363,472,690,24,1137,39,1
1580,Nordeste ,Pernambuco ,Jatobá ,2608057,4387,2151,171,178,17,735,1,1049,2236,182,176,18,769,2,1089
1581,Nordeste ,Pernambuco ,João Alfredo ,2608107,6230,3126,435,878,81,1731,1,0,3104,385,861,64,1791,1,2
1582,Nordeste ,Pernambuco ,Joaquim Nabuco ,2608206,3537,1700,436,117,55,1087,4,1,1837,450,153,67,1159,6,2
1583,Nordeste ,Pernambuco ,Jucati ,2608255,3081,1557,72,618,13,852,2,0,1524,64,578,14,864,4,0
1584,Nordeste ,Pernambuco ,Jupi ,2608305,4363,2132,89,748,17,1277,0,1,2231,95,773,21,1341,1,0
1585,Nordeste ,Pernambuco ,Jurema ,2608404,3228,1563,100,625,8,828,1,1,1665,106,650,15,885,3,6
1586,Nordeste ,Pernambuco ,Lagoa de Itaenga ,2608503,5188,2562,274,526,82,1673,7,0,2626,261,497,90,1767,9,2
1587,Nordeste ,Pernambuco ,Lagoa do Carro ,2608453,3778,1826,1196,225,24,376,4,1,1952,1298,242,26,382,3,1
1588,Nordeste ,Pernambuco ,Lagoa do Ouro ,2608602,3172,1548,173,615,7,753,0,0,1624,172,597,4,850,1,0
1589,Nordeste ,Pernambuco ,Lagoa dos Gatos ,2608701,3318,1589,209,594,34,748,4,0,1729,219,651,43,810,6,0
1590,Nordeste ,Pernambuco ,Lagoa Grande ,2608750,6720,3323,1177,294,67,1752,19,14,3397,1094,319,78,1874,22,10
1591,Nordeste ,Pernambuco ,Lajedo ,2608800,11797,5943,654,1755,84,3432,18,0,5854,699,1738,72,3336,9,0
1592,Nordeste ,Pernambuco ,Limoeiro ,2608909,13849,6859,1471,2136,198,3030,22,2,6990,1275,1994,262,3428,26,5
1593,Nordeste ,Pernambuco ,Macaparana ,2609006,5772,2761,1141,475,46,1091,7,1,3011,1274,474,37,1217,6,3
1594,Nordeste ,Pernambuco ,Machados ,2609105,2690,1340,422,299,9,609,1,0,1350,435,298,18,598,1,0
1595,Nordeste ,Pernambuco ,Manari ,2609154,4781,2328,466,101,14,1743,2,2,2453,483,100,15,1847,6,2
1596,Nordeste ,Pernambuco ,Maraial ,2609204,2134,1065,575,83,9,394,3,1,1069,618,77,7,355,11,1
1597,Nordeste ,Pernambuco ,Mirandiba ,2609303,3799,1855,146,130,293,1070,1,215,1944,186,123,278,1112,6,239
1598,Nordeste ,Pernambuco ,Moreilândia ,2614303,2860,1441,482,202,4,752,0,1,1419,479,205,5,726,3,1
1599,Nordeste ,Pernambuco ,Moreno ,2609402,11464,5562,2398,377,93,2675,10,9,5902,2554,439,113,2779,9,8
1600,Nordeste ,Pernambuco ,Nazaré da Mata ,2609501,7743,3886,912,607,128,2236,2,1,3857,928,606,108,2214,0,1
1601,Nordeste ,Pernambuco ,Olinda ,2609600,71749,35747,16446,4579,1321,13245,122,34,36002,16593,4437,1476,13370,93,33
1602,Nordeste ,Pernambuco ,Orobó ,2609709,5341,2569,762,646,29,1131,1,0,2772,847,624,33,1261,4,3
1603,Nordeste ,Pernambuco ,Orocó ,2609808,4106,1968,1000,47,155,738,2,26,2138,1097,57,141,795,2,46
1604,Nordeste ,Pernambuco ,Ouricuri ,2609907,16068,7934,2812,649,69,4368,33,3,8134,2873,592,93,4547,21,8
1605,Nordeste ,Pernambuco ,Palmares ,2610004,15218,7591,2149,1219,230,3943,44,6,7627,1911,1178,283,4213,38,4
1606,Nordeste ,Pernambuco ,Palmeirina ,2610103,1707,852,432,133,6,281,0,0,855,414,127,10,304,0,0
1607,Nordeste ,Pernambuco ,Panelas ,2610202,7897,3874,647,809,76,2328,12,2,4023,693,775,68,2475,11,1
1608,Nordeste ,Pernambuco ,Paranatama ,2610301,3237,1558,75,419,9,1047,8,0,1679,71,420,6,1164,18,0
1609,Nordeste ,Pernambuco ,Parnamirim ,2610400,4485,2199,606,292,12,1288,0,1,2286,585,250,15,1435,1,0
1610,Nordeste ,Pernambuco ,Passira ,2610509,6046,2954,300,976,115,1550,12,1,3092,257,984,102,1737,11,1
1611,Nordeste ,Pernambuco ,Paudalho ,2610608,13148,6415,3422,598,103,2279,10,3,6733,3494,608,105,2509,11,6
1612,Nordeste ,Pernambuco ,Paulista ,2610707,62473,31050,16783,3863,803,9461,74,66,31423,16821,3641,896,9975,67,23
1613,Nordeste ,Pernambuco ,Pedra ,2610806,4914,2328,859,268,28,1159,14,0,2586,991,270,21,1295,8,1
1614,Nordeste ,Pernambuco ,Pesqueira ,2610905,18708,9291,4317,1240,100,2314,10,1310,9417,4280,1269,129,2258,14,1467
1615,Nordeste ,Pernambuco ,Petrolândia ,2611002,9117,4437,612,386,38,3164,4,233,4680,609,397,52,3363,2,257
1616,Nordeste ,Pernambuco ,Petrolina ,2611101,105884,52402,15858,8470,1700,26041,223,110,53482,16363,8504,1813,26520,207,75
1617,Nordeste ,Pernambuco ,Poção ,2611200,2516,1272,120,181,4,936,3,28,1244,118,172,5,927,3,19
1618,Nordeste ,Pernambuco ,Pombos ,2611309,5994,2867,752,684,53,1373,3,2,3127,810,799,60,1456,0,2
1619,Nordeste ,Pernambuco ,Primavera ,2611408,2600,1308,830,98,34,337,9,0,1292,805,117,36,324,9,1
1620,Nordeste ,Pernambuco ,Quipapá ,2611507,4670,2301,260,356,46,1575,64,0,2369,231,327,44,1712,55,0
1621,Nordeste ,Pernambuco ,Quixaba ,2611533,2960,1524,577,385,15,542,3,2,1436,581,352,7,492,4,0
1622,Nordeste ,Pernambuco ,Recife ,2611606,356999,181341,57559,35882,8548,77950,1070,332,175658,53621,34871,8717,77172,976,301
1623,Nordeste ,Pernambuco ,Riacho das Almas ,2611705,5101,2475,488,1048,26,909,3,1,2626,543,1079,36,964,4,0
1624,Nordeste ,Pernambuco ,Ribeirão ,2611804,8650,4290,2776,396,66,1042,6,4,4360,2802,385,44,1124,1,4
1625,Nordeste ,Pernambuco ,Rio Formoso ,2611903,6164,3003,2675,69,17,239,1,2,3161,2811,74,25,244,0,7
1626,Nordeste ,Pernambuco ,Sairé ,2612000,2355,1128,149,598,13,363,2,3,1227,144,616,20,440,3,4
1627,Nordeste ,Pernambuco ,Salgadinho ,2612109,1245,616,309,137,10,156,4,0,629,327,116,7,174,5,0
1628,Nordeste ,Pernambuco ,Salgueiro ,2612208,16888,8384,889,1511,421,5171,26,366,8504,916,1500,479,5270,20,319
1629,Nordeste ,Pernambuco ,Saloá ,2612307,3650,1772,190,187,5,1390,0,0,1878,247,167,12,1450,2,0
1630,Nordeste ,Pernambuco ,Sanharó ,2612406,4715,2335,216,688,34,1390,5,2,2380,225,646,40,1465,3,1
1631,Nordeste ,Pernambuco ,Santa Cruz ,2612455,3683,1786,935,156,16,672,6,1,1897,994,142,19,734,7,1
1632,Nordeste ,Pernambuco ,Santa Cruz da Baixa Verde ,2612471,2778,1380,214,200,15,950,1,0,1398,186,191,13,1007,1,0
1633,Nordeste ,Pernambuco ,Santa Cruz do Capibaribe ,2612505,24797,12040,4042,3127,145,4663,58,5,12757,4339,3163,166,5020,62,7
1634,Nordeste ,Pernambuco ,Santa Filomena ,2612554,2956,1468,778,113,3,573,1,0,1488,774,114,7,588,1,4
1635,Nordeste ,Pernambuco ,Santa Maria da Boa Vista ,2612604,12287,5981,558,486,585,4312,13,27,6306,612,541,578,4546,9,20
1636,Nordeste ,Pernambuco ,Santa Maria do Cambucá ,2612703,2908,1396,42,795,24,534,1,0,1512,43,809,19,640,1,0
1637,Nordeste ,Pernambuco ,Santa Terezinha ,2612802,2626,1323,916,156,14,237,0,0,1303,892,141,16,253,1,0
1638,Nordeste ,Pernambuco ,São Benedito do Sul ,2612901,2312,1125,542,177,11,377,18,0,1187,596,156,21,394,19,1
1639,Nordeste ,Pernambuco ,São Bento do Una ,2613008,11210,5574,317,2040,67,3140,9,1,5636,273,2010,70,3267,14,2
1640,Nordeste ,Pernambuco ,São Caitano ,2613107,8299,4102,719,1261,66,2041,10,5,4197,732,1174,81,2194,13,3
1641,Nordeste ,Pernambuco ,São João ,2613206,5450,2684,49,950,42,1640,2,1,2766,54,868,39,1801,4,0
1642,Nordeste ,Pernambuco ,São Joaquim do Monte ,2613305,4449,2109,935,609,20,543,2,0,2340,1116,589,21,612,2,0
1643,Nordeste ,Pernambuco ,São José da Coroa Grande ,2613404,5625,2790,1727,226,14,820,3,0,2835,1736,194,24,876,4,1
1644,Nordeste ,Pernambuco ,São José do Belmonte ,2613503,8006,4068,1593,407,80,1971,7,10,3938,1568,408,82,1866,3,11
1645,Nordeste ,Pernambuco ,São José do Egito ,2613602,7338,3652,373,876,39,2359,5,0,3686,379,905,36,2360,5,1
1646,Nordeste ,Pernambuco ,São Lourenço da Mata ,2613701,23483,11508,6224,1258,173,3813,19,21,11975,6426,1278,174,4058,23,16
1647,Nordeste ,Pernambuco ,São Vicente Férrer ,2613800,3758,1847,992,293,33,524,4,1,1911,1074,282,28,527,0,0
1648,Nordeste ,Pernambuco ,Serra Talhada ,2613909,21492,10704,2647,1871,208,5938,8,32,10788,2460,1829,216,6240,12,31
1649,Nordeste ,Pernambuco ,Serrita ,2614006,4346,2101,449,269,20,1359,4,0,2245,465,261,13,1501,2,3
1650,Nordeste ,Pernambuco ,Sertânia ,2614105,7913,3982,778,966,87,2143,7,1,3931,550,954,107,2311,7,2
1651,Nordeste ,Pernambuco ,Sirinhaém ,2614204,9558,4617,3565,135,37,869,7,4,4941,3787,117,59,966,7,5
1652,Nordeste ,Pernambuco ,Solidão ,2614402,1525,747,98,395,5,248,1,0,778,127,371,6,271,1,2
